"id","url","club_name","id_current_league","current_mv"
5,"https://www.transfermarkt.com/ac-mailand/startseite/verein/5","Milan","IT1",571150000
11,"https://www.transfermarkt.com/fc-arsenal/startseite/verein/11","Arsenal","GB1",1150000000
12,"https://www.transfermarkt.com/as-rom/startseite/verein/12","Roma","IT1",273650000
13,"https://www.transfermarkt.com/atletico-madrid/startseite/verein/13","Atletico Madrid","ES1",454150000
15,"https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15","Bayer Leverkusen","L1",676050000
16,"https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16","Borussia Dortmund","L1",471100000
18,"https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18","Borussia Monchengladbach","L1",164650000
24,"https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24","Frankfurt","L1",268050000
27,"https://www.transfermarkt.com/bayern-munich/startseite/verein/27","Bayern Munich","L1",1050000000
29,"https://www.transfermarkt.com/fc-everton/startseite/verein/29","Everton","GB1",311800000
31,"https://www.transfermarkt.com/fc-liverpool/startseite/verein/31","Liverpool","GB1",949300000
35,"https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35","St Pauli","L1",37880000
39,"https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39","Mainz","L1",99730000
46,"https://www.transfermarkt.com/inter-milan/startseite/verein/46","Inter","IT1",705550000
60,"https://www.transfermarkt.com/sc-freiburg/startseite/verein/60","Freiburg","L1",181500000
79,"https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79","Stuttgart","L1",241430000
80,"https://www.transfermarkt.com/vfl-bochum/startseite/verein/80","Bochum","L1",49530000
82,"https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82","Wolfsburg","L1",219800000
86,"https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86","Werder Bremen","L1",109250000
89,"https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89","Union Berlin","L1",128330000
130,"https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130","Parma","IT1",86300000
131,"https://www.transfermarkt.com/fc-barcelona/startseite/verein/131","Barcelona","ES1",890500000
148,"https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148","Tottenham","GB1",807700000
150,"https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150","Real Betis","ES1",153200000
162,"https://www.transfermarkt.com/as-monaco/startseite/verein/162","Monaco","FR1",387200000
167,"https://www.transfermarkt.com/fc-augsburg/startseite/verein/167","Augsburg","L1",106950000
180,"https://www.transfermarkt.com/fc-southampton/startseite/verein/180","Southampton","GB1",222800000
237,"https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237","Mallorca","ES1",87200000
